item_x,item_y,item_z,dist_x_y,dist_x_z,dist_y_z,format_str
stick,incense,sidecar,2.3407784042870143,3.5186889919008215,3.5866844236696376,"Which is more similar to stick, incense or sidecar?"
waterwheel,van,knee,2.330638008057992,3.8372749489073112,3.8371716850009636,"Which is more similar to waterwheel, van or knee?"
spacesuit,swimsuit,chick,2.2758163496770387,3.5466768707952787,3.591159822715229,"Which is more similar to spacesuit, swimsuit or chick?"
meatball,punch,machine gun,1.943091796628798,3.5068020544110468,3.583806326018309,"Which is more similar to meatball, punch or machine gun?"
tomato sauce,scone,camper,1.127094279801933,3.5150325028285625,3.622520058594421,"Which is more similar to tomato sauce, scone or camper?"
submarine,workbench,finger,2.4839727268455274,3.554847016476427,3.382553191583791,"Which is more similar to submarine, workbench or finger?"
match,sparkler,french fries,2.1241925217181676,3.55553893689243,3.206628426331793,"Which is more similar to match, sparkler or french fries?"
jam,cleaver,wing,2.446877041221847,3.537370644959618,3.0262985891052256,"Which is more similar to jam, cleaver or wing?"
bowler hat,jersey,crayon,2.0137637140287086,3.53073231755818,3.17637141371448,"Which is more similar to bowler hat, jersey or crayon?"
potholder,chessboard,eagle,2.4000399891936417,3.65444599508319,3.5600798823450757,"Which is more similar to potholder, chessboard or eagle?"
shower cap,mirror,eagle,2.464303472302018,3.584797767745974,3.519002240782534,"Which is more similar to shower cap, mirror or eagle?"
napkin ring,metronome,tugboat,2.4292352866222595,3.571046942410795,3.073975488721794,"Which is more similar to napkin ring, metronome or tugboat?"
swan,bison,spaghetti,2.0608103343589694,3.6185035476305023,3.204870156719644,"Which is more similar to swan, bison or spaghetti?"
binoculars,tripod,corsage,1.903506849702903,3.600705731240901,3.850527126408492,"Which is more similar to binoculars, tripod or corsage?"
hotdog,hash,shell,0.9547861556518282,3.5114825306382396,3.7410765109566717,"Which is more similar to hotdog, hash or shell?"
film,ironing board,bowling ball,2.4398604204444814,3.545089051536852,3.299596780633917,"Which is more similar to film, ironing board or bowling ball?"
pipe,poker,cilantro,2.411832386001961,3.6196892577041084,3.6321317176711485,"Which is more similar to pipe, poker or cilantro?"
clarinet,megaphone,lettuce,1.8887915073531798,3.7847089957652633,3.3186540614802693,"Which is more similar to clarinet, megaphone or lettuce?"
gargoyle,handprint,knee,2.2429337791906816,3.6001291162362414,3.0269651921794685,"Which is more similar to gargoyle, handprint or knee?"
fan,springboard,crab,2.082315514252647,3.5252026997936685,3.29453573675568,"Which is more similar to fan, springboard or crab?"
abacus,memory stick,panther,2.1453859243639313,3.603868548544501,3.4165430555636287,"Which is more similar to abacus, memory stick or panther?"
eye patch,mannequin,bear,2.469106928794025,3.5321483498143946,3.1687478612309556,"Which is more similar to eye patch, mannequin or bear?"
seagull,wasp,match,1.837724187177467,3.764110337034244,3.6756703496872927,"Which is more similar to seagull, wasp or match?"
tiramisu,gourd,wing,1.8389166650693196,3.5064095598992226,3.627484672871422,"Which is more similar to tiramisu, gourd or wing?"
noisemaker,backgammon,eyepiece,2.313461598215392,3.6422513599797237,2.9688253932059445,"Which is more similar to noisemaker, backgammon or eyepiece?"
kaleidoscope,pennant,lemon,2.204705103987302,3.545822178570813,2.777083413097335,"Which is more similar to kaleidoscope, pennant or lemon?"
stiletto,binoculars,swan,2.2323144953534606,3.5442027689499014,3.109394395590173,"Which is more similar to stiletto, binoculars or swan?"
swimsuit,gift,cockroach,2.395521216458773,3.6752193494588843,3.61632784185043,"Which is more similar to swimsuit, gift or cockroach?"
soap,glue,earwig,2.4530969027826894,3.639783194763732,3.4167284666701074,"Which is more similar to soap, glue or earwig?"
car door,tank,pea,1.5787409386840412,3.5399838196322984,3.706037556461247,"Which is more similar to car door, tank or pea?"
cement mixer,extinguisher,brussels sprouts,2.4206408778967012,3.515908347813846,3.5492575367358032,"Which is more similar to cement mixer, extinguisher or brussels sprouts?"
mouse,fly,turntable,2.106098135780189,3.821291715587503,3.751712929694031,"Which is more similar to mouse, fly or turntable?"
tripod,turnstile,squid,1.941832065727242,3.571836838836865,3.492272520956694,"Which is more similar to tripod, turnstile or squid?"
peeler,bedpost,moth,2.467919186413331,3.612903507418557,3.6160391081252308,"Which is more similar to peeler, bedpost or moth?"
turf,emerald,chime,2.228898964708777,3.547609429726657,3.078558865102391,"Which is more similar to turf, emerald or chime?"
raincoat,slipper,match,2.2410205384441664,3.6025676651983165,3.4731256217615005,"Which is more similar to raincoat, slipper or match?"
face,pantyhose,propeller,2.0659473616539845,3.6080736769023596,3.3170233676321677,"Which is more similar to face, pantyhose or propeller?"
crayon,thumbtack,car door,1.8093581637982958,3.5302110237150517,3.069264584963544,"Which is more similar to crayon, thumbtack or car door?"
shell,brass knuckles,gingerbread man,2.4097446234982716,3.5365723681289425,3.3615796566373777,"Which is more similar to shell, brass knuckles or gingerbread man?"
crystal ball,sink,kite,2.230161779745103,3.610164844581395,3.565801219638104,"Which is more similar to crystal ball, sink or kite?"
licorice,bun,ballot box,2.061176296730863,3.548192365190777,3.411838879427278,"Which is more similar to licorice, bun or ballot box?"
weasel,starfish,hairpin,2.4388972873245405,3.6258084115935785,3.2237555802838793,"Which is more similar to weasel, starfish or hairpin?"
fishhook,gravestone,meerkat,2.447585394554914,3.666018146270701,3.3119108645647954,"Which is more similar to fishhook, gravestone or meerkat?"
gong,horseshoe,skirt,2.348213811389874,3.647999370951949,3.1340247104749794,"Which is more similar to gong, horseshoe or skirt?"
shoelace,tag,shears,2.4376243277474314,3.581835710290763,3.4986277050741377,"Which is more similar to shoelace, tag or shears?"
stomach,jumpsuit,xylophone,1.6311950940266355,3.576231675062014,3.447014979535087,"Which is more similar to stomach, jumpsuit or xylophone?"
bookshelf,hook,burrito,2.311655233905049,3.5247551894809335,3.2588973614442396,"Which is more similar to bookshelf, hook or burrito?"
trowel,scale,beaver,2.453203850868898,3.516348409207106,3.428533985020228,"Which is more similar to trowel, scale or beaver?"
wick,firecracker,rabbit,2.242168636109468,3.8685000524910653,3.7826322515819206,"Which is more similar to wick, firecracker or rabbit?"
bracelet,photo booth,swan,2.414531451468376,3.514683311514884,3.514010658223925,"Which is more similar to bracelet, photo booth or swan?"
crate,workbench,first-aid kit,2.0939316085248016,3.7832735983243895,3.292038367530997,"Which is more similar to crate, workbench or first-aid kit?"
milkshake,ham,boxing gloves,1.8134161584225073,3.542578367837494,3.6222103852297063,"Which is more similar to milkshake, ham or boxing gloves?"
kimono,mask,dough,1.9695431197474713,3.563946578874959,3.374602591569113,"Which is more similar to kimono, mask or dough?"
curry,burrito,costume,0.30599660592986433,3.543877160635442,3.3769626254946647,"Which is more similar to curry, burrito or costume?"
roadsweeper,duct,crayon,1.9766644521016181,3.5779708718269307,3.2154486579394805,"Which is more similar to roadsweeper, duct or crayon?"
scale,sweeper,swan,2.2700274730131276,3.514703069629594,3.484332409825257,"Which is more similar to scale, sweeper or swan?"
dryer,cot,finger,2.4544408739538475,3.630288782894284,3.358732773619847,"Which is more similar to dryer, cot or finger?"
garbage truck,cruise ship,raspberry,2.4494767642045012,3.519111159335079,3.7296158881117183,"Which is more similar to garbage truck, cruise ship or raspberry?"
flashbulb,windshield,deer,2.149120775348346,3.5373127239740425,3.371322767268192,"Which is more similar to flashbulb, windshield or deer?"
orchid,weed,skull,2.2387054282143035,3.6056953801195895,3.387262949171306,"Which is more similar to orchid, weed or skull?"
spider web,flypaper,icepick,2.388049958540763,3.5340654074397104,2.718362797372924,"Which is more similar to spider web, flypaper or icepick?"
bracelet,slime,fire,2.1409175352986134,3.7224467677748025,3.560875749876844,"Which is more similar to bracelet, slime or fire?"
meerkat,pheasant,marker,1.1407829748410392,3.8944048310327726,3.6232989294381945,"Which is more similar to meerkat, pheasant or marker?"
school bus,forklift,boar,1.9370288353550291,3.69751417663031,3.7832376995506642,"Which is more similar to school bus, forklift or boar?"
copier,duct tape,cabbage,2.241059390025846,3.6041437319157885,3.5426385929070117,"Which is more similar to copier, duct tape or cabbage?"
giraffe,wrist,beaker,2.4553849125076233,3.604032180662961,3.5371932548675007,"Which is more similar to giraffe, wrist or beaker?"
slug,puppy,eye patch,2.304888871595673,3.5042864282456008,3.0701101550483756,"Which is more similar to slug, puppy or eye patch?"
spout,soda fountain,costume,2.370029133689246,3.6327281019759754,3.1285400848436002,"Which is more similar to spout, soda fountain or costume?"
bat,kangaroo,tugboat,0.7285772485207161,3.6219982716893013,3.7334585647376444,"Which is more similar to bat, kangaroo or tugboat?"
artichoke,scallop,bed,2.3361821820060396,3.701778008520925,3.3336452486182866,"Which is more similar to artichoke, scallop or bed?"
keg,bullet,sloth,2.4681001988492413,3.5684460656875223,3.653839883142698,"Which is more similar to keg, bullet or sloth?"
spring roll,fruit,uniform,1.8965662948583881,3.731307546914369,3.6316565659161952,"Which is more similar to spring roll, fruit or uniform?"
knob,baseball,toucan,2.4593964878693653,3.560270385037668,3.182390978237589,"Which is more similar to knob, baseball or toucan?"
steak,rice,carriage,1.0626234540622808,3.665770748825244,3.7665543758062223,"Which is more similar to steak, rice or carriage?"
extinguisher,bomb,hedgehog,2.0163240086828598,3.693432679810957,3.6099944748029076,"Which is more similar to extinguisher, bomb or hedgehog?"
rosary,nail polish,squirrel,2.492095031223029,3.5006605769348127,3.6542746735372833,"Which is more similar to rosary, nail polish or squirrel?"
jack,home plate,poodle,2.381665392371653,3.5176579490635964,3.5147800338345947,"Which is more similar to jack, home plate or poodle?"
wineglass,ready meal,net,2.4859985460928984,3.5448592689065803,3.429186344055256,"Which is more similar to wineglass, ready meal or net?"
cloak,walker,punch,2.455816022534257,3.500573277582865,3.4251756937541393,"Which is more similar to cloak, walker or punch?"
spring roll,radish,target,1.8935250479833332,3.8144278875266053,3.540829779227118,"Which is more similar to spring roll, radish or target?"
gumdrop,croissant,raccoon,1.668854326645304,3.557569934420874,3.5597305875253906,"Which is more similar to gumdrop, croissant or raccoon?"
lip balm,scissors,hedgehog,2.4699628082004446,3.5026586273297147,3.6396456113640863,"Which is more similar to lip balm, scissors or hedgehog?"
whistle,mailbox,papaya,2.3536959438138494,3.5101113570218834,2.977850468366235,"Which is more similar to whistle, mailbox or papaya?"
straightjacket,skin,honeycomb,2.360913964842523,3.5017279413286353,2.823818098296616,"Which is more similar to straightjacket, skin or honeycomb?"
taxi,spool,poinsettia,2.4486979509412357,3.585273813700656,3.515137254466118,"Which is more similar to taxi, spool or poinsettia?"
hay,pine needle,bobsled,2.06449387098,3.614910443338074,3.4744678736221193,"Which is more similar to hay, pine needle or bobsled?"
tack,license plate,warthog,2.2818175381739514,3.5689201477850245,3.0810592559086434,"Which is more similar to tack, license plate or warthog?"
riser,brace,raccoon,2.4938427464615316,3.6777576195413113,3.504537725881393,"Which is more similar to riser, brace or raccoon?"
bulldozer,yoke,doll,2.4903289447653107,3.6373142985295317,3.304017674836811,"Which is more similar to bulldozer, yoke or doll?"
anteater,stingray,shoelace,2.151036119621145,3.517248394929376,3.5618518756585553,"Which is more similar to anteater, stingray or shoelace?"
pillbox,teabag,gorilla,2.483805426188601,3.766367732092167,3.1723985478259284,"Which is more similar to pillbox, teabag or gorilla?"
porcupine,cow,grate,0.8657384603009,3.923323129217505,4.053466208014598,"Which is more similar to porcupine, cow or grate?"
suitcase,clothesline,hawk,2.176077752700159,3.646433403256473,3.5043418738948113,"Which is more similar to suitcase, clothesline or hawk?"
ladybug,rose,nail,2.4200234936816396,3.6255777326993126,3.42673729700421,"Which is more similar to ladybug, rose or nail?"
clipper,basil,harp,2.034413925705099,3.5452061401558232,3.842613515115057,"Which is more similar to clipper, basil or harp?"
stool,sewing kit,raccoon,2.3123709729989708,3.5653375272005627,3.7157293686967656,"Which is more similar to stool, sewing kit or raccoon?"
duck,fish,button,1.3188356574497542,3.6813279163336716,3.322143757235087,"Which is more similar to duck, fish or button?"
oar,paddle,cherry,1.7788433190603008,3.6585732831487787,3.7257769811098544,"Which is more similar to oar, paddle or cherry?"
cinnamon,granola,thread,1.5406395137148325,3.584268150898683,3.636812975187594,"Which is more similar to cinnamon, granola or thread?"
measuring cup,scallop,skull,2.359857696189269,3.501507311587077,3.4947302834782126,"Which is more similar to measuring cup, scallop or skull?"
bow,gem,mongoose,2.474150065052718,3.5137858099451265,3.389010901016896,"Which is more similar to bow, gem or mongoose?"
pole,plunger,gumball,2.2598223459671667,3.5109100704983898,3.5163079048302097,"Which is more similar to pole, plunger or gumball?"
key,phone,milk,2.3042492328798443,3.50802403356846,3.3940540939698542,"Which is more similar to key, phone or milk?"
ink,water cooler,rooster,2.4325129219790704,3.551942649640311,3.313805465123788,"Which is more similar to ink, water cooler or rooster?"
road sign,sprinkler,thread,1.479527583204886,3.5237829381961245,3.55826828335282,"Which is more similar to road sign, sprinkler or thread?"
recorder,chute,kiwi,2.3195745976019047,3.569967448214677,3.267273729004487,"Which is more similar to recorder, chute or kiwi?"
bazooka,outlet,okra,2.461914185159328,3.646284827328998,3.4364238990156086,"Which is more similar to bazooka, outlet or okra?"
telegraph,headlamp,piglet,2.183682372106246,3.5104302843046993,3.666237525300738,"Which is more similar to telegraph, headlamp or piglet?"
motherboard,sewing machine,raccoon,1.8702482522429085,3.642335896460901,3.6297579991219617,"Which is more similar to motherboard, sewing machine or raccoon?"
face,pajamas,parachute,1.8215223767034703,3.6667511983526264,3.327560083915342,"Which is more similar to face, pajamas or parachute?"
easter egg,calamari,snowplow,2.2024927282610722,3.567240745796086,3.4778422610692887,"Which is more similar to easter egg, calamari or snowplow?"
sandpaper,toilet paper,quesadilla,2.3252783464196987,3.577229471202844,3.1481473282845847,"Which is more similar to sandpaper, toilet paper or quesadilla?"
cornucopia,palm tree,scalpel,2.399962125508641,3.6338417367042517,3.5467425028757393,"Which is more similar to cornucopia, palm tree or scalpel?"
eye,raincoat,rolling pin,2.3410905221994187,3.59443239069822,3.1972335642908716,"Which is more similar to eye, raincoat or rolling pin?"
walker,crutch,juice,2.1056763049208986,3.528082210233819,3.4671783993952334,"Which is more similar to walker, crutch or juice?"
punching bag,goalpost,crystal,2.458675275769219,3.510925066046347,3.625333610167744,"Which is more similar to punching bag, goalpost or crystal?"
boxing gloves,football helmet,knob,1.9905558729570996,3.7242735895866397,2.865705954578767,"Which is more similar to boxing gloves, football helmet or knob?"
sponge,scallop,chisel,2.199146169598505,3.5184085957242996,3.8862729011025245,"Which is more similar to sponge, scallop or chisel?"
amber,clay,rickshaw,2.4837763330879854,3.597417398605348,3.2917440988532434,"Which is more similar to amber, clay or rickshaw?"
roof rack,trap,polar bear,2.276400581583398,3.539408887878253,2.8955759825750556,"Which is more similar to roof rack, trap or polar bear?"
dollhouse,confetti,whale,2.278762881834596,3.5777481353098737,3.455365980361155,"Which is more similar to dollhouse, confetti or whale?"
tiara,shower cap,basil,2.4610292112968506,3.7095359328870496,3.3778198115951406,"Which is more similar to tiara, shower cap or basil?"
licorice,orange rind,duck,2.203884610420392,3.544637187939802,2.793236532968506,"Which is more similar to licorice, orange rind or duck?"
scorpion,gopher,chandelier,1.7249225594204414,3.6113233705719594,3.879224909467454,"Which is more similar to scorpion, gopher or chandelier?"
bungee,paperclip,koala,2.2216920099342614,3.7793428585664617,3.392529122662337,"Which is more similar to bungee, paperclip or koala?"
sink,scoop,bowling ball,2.3929024244087236,3.5142315150834955,3.514348561356599,"Which is more similar to sink, scoop or bowling ball?"
basketball hoop,shoe polish,goose,2.320199428984323,3.564922585390969,3.4152777724953305,"Which is more similar to basketball hoop, shoe polish or goose?"
knitting,lab coat,chive,2.3273843310272704,3.6363670282370952,3.255631240549569,"Which is more similar to knitting, lab coat or chive?"
detonator,electric chair,hedgehog,2.1074057401466364,3.5930119465752126,3.401618855496275,"Which is more similar to detonator, electric chair or hedgehog?"
raft,platypus,paper plate,2.2733711639041494,3.631240061626244,3.632310694700659,"Which is more similar to raft, platypus or paper plate?"
ironing board,key,okra,1.9603992147391447,3.5057879620936556,3.4850268179984774,"Which is more similar to ironing board, key or okra?"
snowball,poodle,anklet,2.4852007266662244,3.6096188807631076,3.5277841578148137,"Which is more similar to snowball, poodle or anklet?"
slot machine,sandcastle,dolphin,2.4093543106742,3.5370119176104753,2.5970584440360582,"Which is more similar to slot machine, sandcastle or dolphin?"
cinnamon,zucchini,diaper,2.2488281100978904,3.6398641081432968,3.8546718287041544,"Which is more similar to cinnamon, zucchini or diaper?"
banner,electric chair,knee,2.449530675726495,3.7377046298099064,3.7467656070419637,"Which is more similar to banner, electric chair or knee?"
pajamas,tie,space shuttle,1.837533155714144,3.7689901903209284,3.4866577288615055,"Which is more similar to pajamas, tie or space shuttle?"
grass,wreath,sofa bed,2.0544175658625337,3.6645746734536777,2.9964356435329673,"Which is more similar to grass, wreath or sofa bed?"
stiletto,mug,vulture,2.4887169418210875,3.569652911866809,3.5561546304591474,"Which is more similar to stiletto, mug or vulture?"
pallet,clothespin,spaghetti,2.0875275044441963,3.701218039724041,3.3041687525324908,"Which is more similar to pallet, clothespin or spaghetti?"
fungus,tamale,tuba,1.961986289080166,3.728254174515765,3.7936926198945575,"Which is more similar to fungus, tamale or tuba?"
breathalyzer,measuring cup,poinsettia,2.1618546912047063,3.595716419489506,3.511707310915537,"Which is more similar to breathalyzer, measuring cup or poinsettia?"
stalagmite,confetti,tuba,2.3118168309841924,3.649880843483297,3.5848725789171003,"Which is more similar to stalagmite, confetti or tuba?"
orange,pickle,carriage,1.2834136526526914,3.718758475750762,3.588794275300739,"Which is more similar to orange, pickle or carriage?"
whiteboard,guardrail,spider web,2.2320612237370474,3.5120914339889304,3.156195295952806,"Which is more similar to whiteboard, guardrail or spider web?"
rag,fur coat,tuba,2.436201828515401,3.5027352975959825,3.758311950616627,"Which is more similar to rag, fur coat or tuba?"
chalk,robot,hawk,2.1686711532719003,3.6129775259584895,3.5143990161911005,"Which is more similar to chalk, robot or hawk?"
keg,cork,rooster,2.29502048911513,3.5158403312328987,3.2186740544426256,"Which is more similar to keg, cork or rooster?"
camcorder,computer screen,soda,2.0987919247281,3.510593610470791,3.269738378955073,"Which is more similar to camcorder, computer screen or soda?"
videogame,engine,firewood,2.20399519243551,3.5527682835474,3.2778945812530345,"Which is more similar to videogame, engine or firewood?"
loincloth,glove,fire,2.000166119720991,3.5951108801173453,3.5314421563692653,"Which is more similar to loincloth, glove or fire?"
carousel,bracelet,cream,2.4583083813176225,3.651479598573702,3.031463965674847,"Which is more similar to carousel, bracelet or cream?"
pony,snail,towel,2.2715522333963465,3.5469334495613962,3.3308722166964286,"Which is more similar to pony, snail or towel?"
scrabble,key,diaper,2.3528918101333067,3.503680985114688,3.446120063171303,"Which is more similar to scrabble, key or diaper?"
ashtray,extinguisher,kite,2.1974558381812037,3.535266543606335,3.379573659774435,"Which is more similar to ashtray, extinguisher or kite?"
solar panel,roof rack,boar,2.2434673090576474,3.580913830196054,3.5705005462237143,"Which is more similar to solar panel, roof rack or boar?"
