head,winner,loser
casserole,chickpea,radiator
bug,sloth,scalpel
wax paper,waffle iron,duckling
egg roll,tostada,jewel
lip gloss,tongs,goose
stained glass,teacup,calf
grater,slug,butter
inkwell,pony,can opener
home plate,hot-water bottle,necklace
teddy bear,headscarf,golf cart
skeleton,overalls,okra
wig,ski lift,bowler hat
boat,corsage,stick
ferris wheel,slicer,warthog
camera,doormat,cilantro
bobsled,gazelle,boat
swizzle stick,tack,fire
moccasin,boot,cheeseburger
motorcycle,amplifier,owl
hairdryer,sweet potato,soldering iron
letter opener,bonnet,doorknocker
mattress,drawer,dolphin
foam,weasel,reel
cord,bowling ball,hanger
gum,timer,knee
pendulum,knee,pan
coaster,vulture,cleat
hatchet,pendulum,marshmallow
spareribs,grate,crayfish
broom,gate,meerkat
thermometer,gavel,knee
pheasant,snake,racket
extinguisher,cannon,owl
windowsill,knee,comic book
cane,can opener,fire
barcode,window,hawk
ram,donut,alpaca
slicer,remote control,dolphin
helmet,okra,trampoline
bench,crucifix,vulture
hatbox,chinchilla,dumpster
fireworks,shark,fuse
penguin,mushroom,fire
boxing gloves,goose,sleeping bag
wheat,sushi,bowling ball
dolphin,hairpin,moose
tennis ball,basketball,dolphin
scraper,eagle,tool
dumbbell,dolly,chick
starfish,peacock,cabinet
radish,wing,squid
cheeseburger,diaper,clay
slime,ice,fire
fishing pole,chainsaw,meerkat
doorhandle,raspberry,polisher
stick,road sign,thread
ladle,holster,vulture
calf,meat,shopping basket
broccoli,speedboat,whipped cream
tongs,cockatoo,funnel
mousetrap,knee,coop
fingerprint,tuba,granite
cereal,omelet,seaplane
vegetable,ladder,measuring cup
megaphone,chalkboard,cilantro
wooden leg,pom-pom,jeans
slide,diamond,gearshift
rearview mirror,chariot,arugula
missile,grate,headrest
carrot,eggplant,chisel
pipe,bazooka,corsage
pool table,eagle,springboard
magnifying glass,icemaker,bamboo
ratchet,tuning fork,vulture
megaphone,valve,corsage
trashcan,basketball hoop,boar
grass,pesto,rickshaw
oil,hawk,kebab
spoon,guinea pig,dumbbell
paper bag,scarf,raccoon
cat,boar,doily
starfish,puddle,shell
manatee,alpaca,helmet
smoke alarm,prism,vulture
diving board,cardinal,keyhole
meerkat,lamb,telegraph
thimble,weasel,spout
dolly,brake,whale
cream cheese,mussel,kayak
streetlight,razor,knee
mustache,bowling ball,tooth
hairpin,kale,bolo tie
water bottle,finger,smoothie
robe,macaroni,uniform
trashcan,ankle,road sign
pomegranate,whip,ginger
nose,ear,marker
gravestone,door,thread
spaghetti,knee,lamb chop
lampshade,incense,binoculars
spider,gumball,peacock
crow,guinea pig,locket
stroller,bull,buggy
scallop,nacho,playpen
pet food,spring roll,tuba
goldfish,boxing gloves,cat
towel,wolf,handkerchief
surfboard,aardvark,slide
daisy,ladder,green beans
cream,bedpan,seal
sandbag,scaffold,doll
calamari,notebook,grape
chipmunk,possum,train car
cabinet,piglet,bracket
fudge,star fruit,soccer ball
coffee,oil,paddle
pants,scarf,scallion
football helmet,meerkat,basketball
toaster oven,credit card,zebra
lanyard,polar bear,mouthpiece
cactus,bowling ball,tee
espresso,polar bear,sugar cube
staple,water heater,eagle
french horn,banjo,croissant
speedboat,pastry,jetski
scissors,bumper,goose
mitten,cilantro,bow
slipper,velcro,peach
leggings,wood,elbow
stalagmite,quad,sponge
pedal,hawk,fire pit
baton,dumbbell,raspberry
squirrel,raccoon,toothbrush
banana peel,squash,bowling ball
pastry,pot,seatbelt
riser,sloth,credit card
undershirt,crystal,sweatsuit
rat,cat,basketball hoop
battery,guillotine,shark
saxophone,panther,trumpet
hood,figurine,chisel
shutter,shark,blind
grater,sheep,nail
camel,sofa bed,hippopotamus
ice cube,badger,lamb chop
fence,cake mix,fencepost
twig,gravel,playpen
tattoo,bowtie,forklift
radish,sword,cream cheese
pigeon,badger,wire
guillotine,knee,tent
sewing machine,pogo stick,okra
barrette,beaker,girl
punching bag,jersey,artichoke
nail clippers,artichoke,doormat
sim card,thermos,cilantro
mongoose,contact lens,tick
crown,cigarette,centerpiece
couch,tuba,velcro
sushi,soup,racket
wallet,cork,peach
humvee,bungee,dashboard
scorpion,shark,chime
french fries,ice cube,tennis ball
ski boots,gas mask,ram
van,hawk,train set
vial,kangaroo,lip balm
popsicle,flour,first-aid kit
gourd,sponge,snorkel
photograph,hearse,shell
costume,rock,handprint
pool table,knee,tape recorder
boulder,sidecar,pine tree
first-aid kit,minivan,gurney
tumbleweed,flute,birdhouse
peach,shower curtain,fondue
shrimp,thread,platypus
throne,carriage,bush
walrus,ram,fire
highlighter,painting,foot
ticktacktoe,corsage,sticker
radish,blimp,bonsai
ambulance,papaya,dirt bike
snowplow,boar,buggy
tape recorder,briefcase,aardvark
aluminum foil,bug,zipper
canvas,leash,cardinal
honey,curry,skull
matchbox,quad,ashtray
bear,seal,cooler
wire,pastry,bungee
coleslaw,lamb chop,toe
tamale,jet,hay
cocoon,dartboard,jalapeno
noodle,hoodie,chili
clock,knee,ironing board
milk,kitten,water filter
paper towel,dishrag,eagle
bamboo,revolver,toothpick
gourd,ladder,sushi
sling,man,candle
go-kart,spaghetti,arch
bone,bubble wrap,handprint
fishhook,basil,paddle
sushi,blender,fence
latte,crate,breadbox
bandage,red carpet,tuba
mantle,cilantro,lens
incubator,tuba,penholder
rocket,train car,sheep
solar panel,diving board,raccoon
helmet,football helmet,grass
squirrel,cape,cobra
snowplow,fishnet stockings,gutter
eel,paper plate,groundhog
wind chimes,knee,breadbox
closet,hawk,computer screen
blower,swan,roller
seahorse,koala,fire
jam,stuffing,tapestry
dumpling,candy bar,hydrant
latch,trailer,cabbage
stapler,hawk,lock
hot tub,coffee pot,beaver
magnifier,swan,frame
trigger,spider web,mask
strawberry,beet,loom
zebra,lid,duck
headlamp,apple,jewelry
treadmill,spider web,canvas
turnstile,okra,subway
ship,cardinal,lifesaver
periscope,remote control,flan
crepe,axe,donut
taillight,artichoke,gear
ashtray,coffee filter,grate
stalagmite,gravestone,revolver
axe,screw,fishnet stockings
handcuff,mask,jam
gavel,whale,dart
chalkboard,artichoke,amplifier
calf,jetski,cockatoo
microwave,wine cooler,bowling ball
train car,switch,bathrobe
memory stick,webcam,raccoon
fingerprint,duct tape,grate
roadsweeper,beaver,taillight
lizard,hawk,notebook
possum,shoelace,praying mantis
rickshaw,incense,police car
ice,corn,necklace
mistletoe,face mask,hail
amber,pearl,kite
wrapping paper,monkey,blind
panda,racket,hummingbird
strap,jump rope,bean
firetruck,mint,jack
scaffolding,cabbage,revolving door
jigsaw puzzle,goose,frame
ice,doll,shower cap
scaffold,scallion,tray
cymbal,sheep,checkers
first-aid kit,pillbox,meatball
hedgehog,beachball,raccoon
chick,alligator,closet
pasta,tank,mug
chest,foot,jet
bracelet,footrest,whale
spam,toast,revolver
hopscotch,swing,melon
mold,dolphin,coffee pot
airboat,humvee,souffle
log,diamond,lavender
washboard,umbrella,chipmunk
apple tree,pomegranate,wand
rice,uniform,pancake
mirror,centrifuge,eagle
blind,polar bear,shopping cart
granite,rubber band,raccoon
pin,penholder,hawk
dresser,stirrup,parachute
blanket,walnut,ottoman
pogo stick,swan,duct tape
rhinoceros,wire cutters,calf
dish,scoop,vulture
pliers,meerkat,exerciser
gravy,cake mix,dolphin
wine bottle,umbrella,owl
match,casserole,cigarette butt
wetsuit,cornhusk,spring roll
mouse,fishbowl,aluminum foil
bathmat,awning,calamari
whoopee cushion,trampoline,hawk
jump rope,raccoon,pocket watch
shoulder,sword,kneepad
souffle,burner,bunkbed
book,sheep,freezer
microscope,tab,ram
burrito,hummus,hubcap
moose,blazer,boar
turtleneck,straightjacket,screwdriver
bow,rabbit,headscarf
spoon,roof rack,raccoon
step stool,boar,pulley
train set,knee,cruise ship
meatloaf,soccer ball,hot chocolate
mold,washing machine,pigeon
neck,sword,flip-flop
seafood,log,hairdryer
mousepad,album,fire
squid,turkey,step stool
gear,crane,peach
letter opener,padlock,poinsettia
denture,stethoscope,airplane
kebab,blouse,hummus
ivy,granola,chisel
power line,rack,gazelle
toilet,peach,glasses
pallet,duct,seaplane
organ,chessboard,face
bear,bee,calculator
webcam,catfish,headset
arugula,bassoon,zucchini
hose,drain,poodle
parachute,airplane,coal
swing set,knee,bark
crystal,rooster,emerald
emerald,shuffleboard,vulture
spinach,fruit,bassoon
cherry,knot,cordon bleu
record player,roulette wheel,boar
bank,badger,doormat
cord,videogame,doll
cannonball,mango,sidecar
chalkboard,roulette wheel,corsage
noisemaker,iguana,pennant
turtleneck,bullet,headscarf
coil,pin,pancake
stair,catfish,prism
grain,sidecar,mint
rat,playpen,boar
rolling pin,beaver,sifter
clothespin,duct,corsage
hairspray,rollerskate,chive
stockings,harness,laptop
soda fountain,shuffleboard,spider web
column,coral,globe
door,cockroach,gurney
ready meal,maggot,revolver
gong,rim,french fries
wagon,steering wheel,cockatoo
typewriter,spring roll,album
dip,space shuttle,plate
spatula,scale,cockroach
tricycle,lunchbox,pug
granola,grain,rickshaw
pacifier,palm tree,hot-water bottle
aluminum foil,cheesecake,ram
emerald,vulture,roller
rhinoceros,palette,leopard
binoculars,bazooka,corsage
meatloaf,diamond,tongue
shield,finger,chinaware
coffee bean,lemonade,machine gun
lingerie,volleyball,torso
remote control,poppy,water filter
wallet,knee,headlamp
easter egg,airplane,cheesecake
sunflower,filter,bark
sarcophagus,gumball,ramp
leaf,bark,record
salami,shell,parfait
wagon,forklift,crayon
beard,arm,carriage
beanie,pallet,loincloth
firewood,brick,denture
lipstick,gift,donkey
glue,lion,lightbulb
soccer ball,trombone,golf club
lizard,otter,pantsuit
thermostat,bowling ball,ramp
subway,panther,humvee
christmas tree,grate,place mat
scrabble,boar,book
man,grate,puppy
chalkboard,bowling ball,washboard
christmas tree,buffet,grate
tool,mint,knitting needle
saffron,gun,sorbet
torso,loincloth,tape
typewriter,dice,hedgehog
backgammon,polar bear,tee
cable,battery,skirt
panties,saw,straightjacket
coffee filter,confetti,carriage
hearse,carriage,cilantro
kilt,cream,top hat
gift,chipmunk,top hat
headlamp,boar,scale
clothes,headdress,aardvark
poinsettia,crib,grapefruit
macadamia,camper,scrambled egg
granola,anchor,weed
viewfinder,wine bottle,okra
lamb chop,mug,corsage
pretzel,potpie,grille
lens,hedgehog,dishwasher
tapestry,mitten,enchilada
lego,pinball,pheasant
whiteboard,knee,box
match,fireworks,cocktail
eyepiece,marshmallow,sweatsuit
marshmallow,hose,fudge
shower curtain,bison,clothes
appetizer,peach,bobsled
enchilada,rack,whisk
leech,flip-flop,fire
meatloaf,fruit,thread
generator,centrifuge,lion
pulley,beer,fire hydrant
stretcher,submarine,mouse
bazooka,diaper,piggy bank
ottoman,doghouse,meerkat
carrot,pecan,brass knuckles
watch,engine,wood
diving board,kazoo,artichoke
yoke,diaper,kettle
vegetable,ginger,ladder
tea,mug,torso
beanbag,hyena,bagel
donut,lasagna,camcorder
pea,shoe,quesadilla
bullet,arrow,sandwich
potholder,hairnet,weasel
plastic film,bacon,violin
screen,dumbwaiter,parfait
razor blade,doorknocker,hawk
nightstand,parachute,vacuum
container,waffle iron,corsage
flag,fire,raft
apron,pincushion,squirrel
scoop,bedpost,bowling ball
toad,hairpin,calf
pearl,tuba,porthole
torpedo,hook,knee
curtain,doorbell,tuba
watch,piglet,handcuff
swan,bedpost,iguana
rim,lettuce,tambourine
cutting board,eagle,batter
parrot,match,crab
harmonica,cigarette holder,necklace
lumber,sheep,lectern
warthog,turtle,tupperware
teddy bear,shears,mousepad
mosquito,grasshopper,flipper
cooker,croissant,mongoose
apple tree,car,wrap
snowplow,shopping basket,canoe
calamari,pea,ladder
bank,lemonade,meerkat
satellite,peach,swing set
croissant,tomato,eraser
speedometer,window,whale
gate,necklace,roadsweeper
chili,otter,french fries
chandelier,grasshopper,locket
bikini,beaker,wooden leg
beard,recorder,earplug
parsley,peanut butter,pacifier
napkin ring,acorn,panther
gas mask,cardinal,trunk
wax paper,poppy,awning
harness,scallion,coat
puppy,pillbox,zebra
revolving door,raccoon,road sign
grass,wing,pitchfork
hamburger,honey,space shuttle
buffet,hash,blimp
car,pea,submarine
headdress,first-aid kit,hair
ink,hookah,leek
blindfold,grate,whiteboard
paint,owl,easter egg
gasket,squid,tab
chair,raccoon,tape measure
hairbrush,raccoon,blindfold
sticker,pinwheel,swan
puddle,filter,apple tree
quesadilla,cinnamon,saxophone
crate,duct,melon
bazooka,windshield wiper,papaya
syringe,vial,quad
stockings,bell pepper,costume
navel,bowling ball,racehorse
polar bear,guinea pig,hook
finger,nose,rickshaw
sea urchin,marijuana,wrench
notepad,koala,scanner
chessboard,coaster,swan
faucet,window,poppy
license plate,knee,backpack
doorhandle,pancake,grill
cookie cutter,kite,buffet
shelf,arugula,sink
teacup,calzone,whale
leek,bucket,ginger
swan,sorbet,horse
sunroof,duct,vulture
anchor,sickle,bow
lightbulb,fire alarm,spider web
muffin,racket,taco
tree,ivy,quad
snowshoe,tooth,grate
lasagna,handcuff,tortilla
basketball hoop,warthog,rake
home plate,cilantro,touchpad
airplane,sequin,sunroof
toe,blowtorch,bracelet
pill,ladder,tooth
tape,cockatoo,lens
fox,grapevine,floss
cookie,marshmallow,soccer ball
shower,croissant,car seat
trough,stirrup,bowling ball
jewelry,carrot,diamond
wrap,turntable,mushroom
antenna,flatiron,pancake
anvil,toe,container
vegetable,cracker,jeep
incubator,tuba,wrap
crayon,paint,pedal
tractor,playpen,trashcan
frisbee,basketball,asparagus
triangle,sweeper,grate
barrel,hair,cooker
jellyfish,butterfly,humvee
gyroscope,boar,gold
stained glass,cat,quilt
mouth,revolver,wig
wheelchair,stretcher,earwig
yoke,cross,marshmallow
footprint,grate,sandbox
necklace,bow,manhole
balance beam,railing,cilantro
saffron,kayak,star fruit
trashcan,pothole,ankle
bin,mouse,trashcan
incubator,tape recorder,grate
lantern,piglet,slicer
buckle,flashlight,curry
face mask,whistle,crayon
thumbtack,money,torso
camera,iron,cilantro
grate,lava,washboard
bow,chisel,tattoo
cracker,peanut,cruise ship
pencil,cork,cherry
ribbon,bracelet,badger
wallet,honeycomb,bumper
footrest,microphone,rose
tuba,guitar,taco
dragonfly,meerkat,sofa bed
spout,valve,moth
sandal,credit card,souffle
canoe,grate,thermos
cobra,bongo,praying mantis
cymbal,meerkat,headphones
trophy,candlestick,chick
padlock,train set,blackberry
bulletin board,chalk,hawk
milk,chocolate,lifesaver
wand,fishhook,zebra
light switch,dresser,cardinal
can,mousetrap,fire
snowman,wall,knife
crank,hard disk,cardinal
charcoal,face,extinguisher
swan,toaster,crab
doorknocker,knee,vase
fishbowl,fish,peg
nightstand,modem,pheasant
maple syrup,toaster oven,polar bear
sugar cube,dynamite,burrito
suitcase,camera lens,scallion
pasta,tomato,vulture
limousine,carriage,arugula
statue,coverall,peg
crouton,fondue,laptop
chest,bubble wrap,braid
cup,coffee pot,shears
sauce,meerkat,roll
goblet,compass,guinea pig
windshield,wreck,corsage
slipper,wetsuit,cilantro
chess piece,cilantro,seesaw
pheasant,weather vane,cutting board
snowplow,pasta,roadsweeper
maggot,banjo,gazelle
peppermint,pickle,owl
cheesecake,smoothie,marble
punch,moth,gyro
cabbage,beet,marker
jump rope,air pump,vulture
block,sidecar,hanger
film,okra,cash machine
boomerang,trowel,pancake
marble,balloon,jeep
gramophone,thimble,toe
shell,gear,coffee
beer,spear,punch
polisher,coverall,rabbit
centerpiece,trumpet,turkey
airplane,cashew,car door
cloud,first-aid kit,teepee
cornhusk,bowling ball,chili
banana,hamster,humvee
hairpin,turkey,clasp
sardine,juicer,pallet
beehive,tuba,bun
penlight,vulture,cot
skull,snack,mullet
modem,saltshaker,spider web
hail,space shuttle,rhubarb
possum,lampshade,crow
stethoscope,leash,curry
sloth,pony,bracket
scarf,cot,shell
chalice,tiger,glass
bathrobe,mosquito net,ostrich
tape recorder,koala,kettle
rooster,fish,wrapping paper
rim,poppy,container
carrot,pedal,cornbread
mole,possum,peppermint
boxer shorts,rack,kneepad
tiger,reindeer,face mask
spaghetti,board,gingerbread man
can,chips,corsage
meat grinder,watermelon,kite
file,knitting needle,boar
tostada,scrambled egg,thread
koala,mole,canister
octopus,jellyfish,jeep
potholder,deer,yarn
roulette wheel,dolphin,dashboard
mouthpiece,knee,inhaler
football,bubble wrap,slide
ant,wand,kitten
dreidel,stool,knee
grasshopper,grass,turntable
spatula,grater,pigeon
handlebar,paperweight,spider
reindeer,wick,saddle
urinal,crumb,cardinal
warthog,wrench,piggy bank
pinecone,knee,gourd
coverall,bulletproof vest,tuba
egg,hubcap,popsicle
folder,altar,mosquito
headlamp,hook,deer
test tube,honeypot,muff
turban,snowplow,hat
buoy,cracker,waterwheel
copier,rudder,chipmunk
first-aid kit,loveseat,inhaler
anteater,maggot,jeep
sauce,carriage,popsicle
weasel,grille,slug
sailboat,french fries,torpedo
megaphone,corsage,car seat
coffee table,slug,chinaware
margarita,coyote,blueberry
candy bar,washcloth,gallows
lobster,gopher,pickax
flypaper,diamond,skin
toast,fruit,knee
cobra,cardinal,manhole
teacup,wok,kayak
stingray,butterfly,necklace
cross,board,bowling ball
meerkat,mosquito,jump rope
defibrillator,hawk,rust
shower curtain,spinach,cot
dandelion,penholder,brass knuckles
shopping basket,headscarf,toaster oven
magnifier,trunk,pear
walker,corkboard,mosquito net
tank,pitchfork,oatmeal
collar,fire,shoe
cable,cream,radio
toga,hoodie,tugboat
plastic film,whale,can opener
baton,stirrup,apple tree
gravy,milkshake,kite
tile,jeep,telephone pole
moccasin,sock,coleslaw
garbage truck,soldering iron,pony
reindeer,kangaroo,palette
snack,firetruck,pan
balloon,scalpel,cotton candy
dagger,soap,drill
gavel,turnstile,papaya
shell,keg,corsage
goat,highchair,scorpion
chaps,basil,cummerbund
basketball hoop,antenna,bonnet
sarcophagus,gumball,suspenders
rat,meat,pantsuit
lightning bug,tick,bus
air mattress,vulture,phone booth
canvas,spider web,coaster
oyster,dessert,diaper
diving board,poodle,battery
tapestry,cigar,bow
skunk,swordfish,racket
webcam,hedgehog,fan
oyster,playpen,syrup
paper bag,cornhusk,knee
bobsled,dough,van
bowl,perfume,pony
cannonball,coffee filter,thread
bolo tie,spider web,razor
bug,sofa bed,panda
candy bar,carriage,fuse
paper,jetski,backgammon
starfish,space shuttle,wasp
dirt bike,barbell,bubble wrap
ladybug,blimp,mole
skateboard,checkers,blouse
flypaper,guillotine,knee
cd player,kale,switch
peanut,easter egg,anchor
nail polish,pony,lip gloss
diskette,scallion,solar panel
potato,robe,lemonade
shutter,okra,barcode
cable,rickshaw,motherboard
bongo,watch,ladybug
handcuff,neck,arugula
chips,ready meal,golf cart
bat,tuba,grapevine
javelin,lawnmower,milk
bowler hat,poppy,towel
broom,snowboard,meerkat
bazooka,ear,marshmallow
muff,bathrobe,gumball
cornucopia,cornhusk,violin
record,potato,metronome
wax paper,diving board,seahorse
wall,blowfish,vent
sundial,milk,abacus
bed,tugboat,column
bib,bowl,mouse
clipper,celery,garter
flamingo,bookshelf,caterpillar
pomegranate,revolver,easter egg
chopsticks,swan,saucer
safety pin,chimney,skunk
boulder,wire,cactus
periscope,corsage,scale
pillbox,pill,shawl
wand,bell,swimming pool
eggplant,food processor,tuba
hedgehog,punch,seahorse
tab,vent,kangaroo
water fountain,corsage,stove
pretzel,stuffing,machine gun
lip balm,hawk,penlight
trumpet,polar bear,xylophone
cigarette,flamethrower,tricycle
pennant,knee,chalk
firetruck,ravioli,payphone
coffee,xylophone,marmalade
envelope,meerkat,toilet paper
pickax,blouse,duct
photo booth,cream,toga
chaps,cleat,cilantro
cape,vest,corkboard
lava,sandcastle,knee
magnet,shoe,meerkat
bush,clarinet,mulberry
shelf,deer,camera
keg,lock,fox
jersey,swan,clothes
